City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,edinburgh of the seven seas,-37.0676,-12.3116,14.96,80,93,11.08,SH,1688858933
138,san patricio,28.017,-97.5169,35.05,56,47,7.14,US,1688858933
139,la passe,45.5549,-0.8967,21.13,87,61,4.59,FR,1688858878
140,barra de santo antonio,-9.4047,-35.5072,23.6,88,61,3.68,BR,1688858935
141,odienne,9.51,-7.5692,23.13,92,85,1.89,CI,1688858936
142,invercargill,-46.4,168.35,7.06,89,100,1.42,NZ,1688858815
143,fale old settlement,-9.3852,-171.2468,28.56,74,58,7.44,TK,1688858778
144,vila franca do campo,37.7167,-25.4333,18.23,72,29,0.65,PT,1688858938
145,tolanaro,-25.0319,46.9987,21.04,78,0,4.12,MG,1688858938
146,thompson,55.7435,-97.8558,19.09,59,75,6.17,CA,1688858790
147,howard springs,-12.497,131.047,21.01,58,58,5.09,AU,1688858939
148,lihue,21.9789,-159.3672,28.77,60,40,8.75,US,1688858871
149,tougan,13.0667,-3.0667,30.94,42,54,2.81,BF,1688858940
150,hamilton,39.1834,-84.5333,25.55,82,75,1.54,US,1688858731
151,kingston,17.997,-76.7936,29.58,81,40,7.2,JM,1688858864
152,bamboo flat,11.7,92.7167,24.05,94,75,1.03,IN,1688858942
153,nema,57.5067,50.5011,16.76,95,82,2.16,RU,1688858943
154,port saint john's,-31.6229,29.5448,16.69,66,68,5.72,ZA,1688858943
155,inarajan village,13.2736,144.7484,30.22,86,100,6.76,GU,1688858944
156,glace bay,46.1969,-59.957,24.94,85,75,3.09,CA,1688858944
157,udachny,66.4167,112.4,20.82,49,69,5.88,RU,1688858945
158,vorgashor,67.5833,63.95,7.63,71,99,2.26,RU,1688858945
159,harlan,41.653,-95.3255,24.81,68,84,3.57,US,1688858946
160,punta arenas,-53.15,-70.9167,-1.94,86,0,2.06,CL,1688858947
161,chibougamau,49.9168,-74.3659,22.79,56,100,2.06,CA,1688858890
162,esperanza,19.5847,-70.9849,30.32,72,9,1.79,DO,1688858647
163,noumea,-22.2763,166.4572,23.99,99,64,3.1,NC,1688858734
164,manismata,-2.4667,111.0333,22.33,98,93,1.18,ID,1688858949
165,port mathurin,-19.6833,63.4167,23.15,71,60,10.04,MU,1688858949
166,al wafrah,28.6392,47.9306,35.02,12,5,5.38,KW,1688858950
167,sao paulo de olivenca,-3.3783,-68.8725,25.4,87,100,0.74,BR,1688858950
168,tubarjal,30.4999,38.216,27.07,36,0,5.84,SA,1688858951
169,arraial do cabo,-22.9661,-42.0278,23.22,59,39,2.94,BR,1688858905
170,itoman,26.1247,127.6694,30.01,82,75,4.63,JP,1688858953
171,enriquillo,17.9,-71.2333,30.82,76,96,3.75,DO,1688858954
172,puerto deseado,-47.7503,-65.8938,0.98,76,6,4.08,AR,1688858954
173,constantia,44.1833,28.65,19.38,69,100,10.84,RO,1688858955
174,hovd,48.0056,91.6419,17.1,45,4,2.95,MN,1688858956
175,talnakh,69.4865,88.3972,14.56,89,100,3.44,RU,1688858957
176,kpandae,8.4689,-0.0113,22.81,95,97,1.63,GH,1688858957
177,motueka,-41.1333,173.0167,11.72,84,100,0.91,NZ,1688858958
178,qaqortoq,60.7167,-46.0333,7.87,82,11,2.39,GL,1688858924
179,la'ie,21.6477,-157.9253,30.98,60,74,1.79,US,1688858959
180,salavan,15.7167,106.4167,23.46,93,100,1.42,LA,1688858960
181,mount pearl,47.5166,-52.7813,18.19,94,40,1.54,CA,1688858794
182,eirunepe,-6.6603,-69.8736,23.59,96,72,0.22,BR,1688858961
183,general acha,-37.377,-64.6043,10.2,72,100,3.16,AR,1688858962
184,stanley,54.868,-1.6985,16.96,92,20,0.51,GB,1688858962
185,weining,26.85,104.2333,16.62,97,100,1.22,CN,1688858963
186,coquimbo,-29.9533,-71.3436,13.85,88,0,2.06,CL,1688858597
187,n'zeto,-7.2312,12.8666,20.16,93,20,2.78,AO,1688858964
188,suva,-18.1416,178.4415,27.71,74,75,1.03,FJ,1688858802
189,makokou,0.5738,12.8642,21.36,89,88,1.46,GA,1688858965
190,cabedelo,-6.9811,-34.8339,24.37,84,65,4.18,BR,1688858966
